supplier,fiscal_year,revenue,COGS,gross_margin_pct,cash_flow,debt_equity_ratio,cost_savings,PPV,QP,QR,lead_time_attainment,carbon_emission_intensity,renewable_energy_usage,plastic_recycle,human_rights_compliance_score,node_parity,DDR_gen_support,geo_risk,tariff_risk,chip_shortage_impact,supplier_code,PSL_cluster,PSL_status,PSL_score,score_cost_savings,score_PPV,score_QP,score_QR,score_lead_time_attainment,score_carbon,score_renewable_energy_usage,score_plastic_recycle,score_human_rights_compliance_score,score_cost_block,score_qd_block,score_esg_block,composite_score,allocation_percent
Samsung,2018,211200000.0,116160000.0,45.0,65000000000.0,0.09,7.0,-500.0,95.0,90.0,95.0,21.5,10.0,83.0,93.0,1.0,0.45,0.252,0.358,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,1.0,1.0,1.0,0.2962962962962963,0.17647058823529413,0.38461538461538464,0.42857142857142855,0.38461538461538464,1.0,0.3214884244296009,0.8706103809044985,50.0
SK Hynix,2018,32500000.0,13325000.0,59.0,18500000.0,0.4,4.0,-1500.0,85.0,80.0,90.0,20.0,8.0,84.0,93.0,1.0,0.4,0.29,0.42,0.08,1,1,Developing,0.6,0.5384615384615384,0.18181818181818182,0.0,0.0,0.9090909090909091,0.4074074074074074,0.11764705882352941,0.46153846153846156,0.42857142857142855,0.3601398601398601,0.30303030303030304,0.35379108908520673,0.46230218583159766,25.0
Micron,2019,23410000.0,14902000.0,36.3,12000000.0,0.4,5.0,-1000.0,85.0,80.0,90.0,15.5,16.0,86.0,94.0,1.0,0.45,0.306,0.486,0.08,0,1,Developing,0.6,0.6153846153846154,0.09090909090909091,0.0,0.0,0.9090909090909091,0.7407407407407407,0.35294117647058826,0.6153846153846154,0.5714285714285714,0.3531468531468532,0.30303030303030304,0.570123776006129,0.48323615382438917,25.0
Samsung,2019,187500000.0,119062000.0,36.5,41000000000.0,0.13,7.0,-500.0,95.0,90.0,95.0,20.0,12.0,84.0,92.0,1.0,0.5,0.254,0.364,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,1.0,1.0,1.0,0.4074074074074074,0.23529411764705882,0.46153846153846156,0.2857142857142857,0.38461538461538464,1.0,0.3474885680768034,0.8732103952692187,50.0
SK Hynix,2019,22000000.0,14080000.0,36.0,9000000.0,0.55,4.0,-1500.0,85.0,80.0,90.0,18.8,10.0,85.0,94.0,1.0,0.6,0.292,0.44,0.08,1,1,Developing,0.6,0.5384615384615384,0.18181818181818182,0.0,0.0,0.9090909090909091,0.49629629629629624,0.17647058823529413,0.5384615384615384,0.5714285714285714,0.3601398601398601,0.30303030303030304,0.44566424860542503,0.4714895017836195,25.0
Micron,2020,21440000.0,14635000.0,31.8,9900000.0,0.42,-1.0,-5000.0,95.0,90.0,50.0,14.8,20.0,87.0,95.0,1.0,0.55,0.308,0.081,0.75,0,0,Limited,0.3,0.15384615384615385,0.8181818181818182,1.0,1.0,0.18181818181818182,0.7925925925925925,0.47058823529411764,0.6923076923076923,0.7142857142857143,0.48601398601398604,0.7272727272727272,0.6674435586200291,0.4835275726452196,30.0
Samsung,2020,197600000.0,122512000.0,38.0,46500000000.0,0.11,-1.0,-3000.0,95.0,90.0,50.0,18.8,15.0,85.0,94.0,1.0,0.55,0.256,0.063,0.7,2,2,Preferred,1.0,0.15384615384615385,0.45454545454545453,1.0,1.0,0.18181818181818182,0.49629629629629624,0.3235294117647059,0.5384615384615384,0.5714285714285714,0.30419580419580416,0.7272727272727272,0.48242895448777795,0.7968442940501763,45.0
SK Hynix,2020,20100000.0,12663000.0,37.0,7800000.0,0.6,-2.0,-6000.0,95.0,90.0,50.0,17.5,14.0,86.0,93.0,1.0,0.75,0.295,0.08,0.75,1,0,Limited,0.3,0.07692307692307693,1.0,1.0,1.0,0.18181818181818182,0.5925925925925926,0.29411764705882354,0.6153846153846154,0.42857142857142855,0.5384615384615384,0.7272727272727272,0.48266657090186504,0.4702946291181585,25.0
Micron,2021,27700000.0,17370000.0,37.3,11800000.0,0.35,-2.0,-5000.0,95.0,90.0,40.0,13.9,25.0,88.0,96.0,1.0,0.6,0.31,0.056,0.75,0,0,Limited,0.3,0.07692307692307693,0.8181818181818182,1.0,1.0,0.0,0.8592592592592593,0.6176470588235294,0.7692307692307693,0.8571428571428571,0.4475524475524476,0.6666666666666666,0.7758199861141037,0.47233724336665506,30.0
Samsung,2021,232400000.0,120848000.0,48.0,61000000000.0,0.08,-2.0,-3000.0,85.0,80.0,40.0,17.5,20.0,86.0,93.0,1.0,0.65,0.258,0.055,0.7,2,2,Preferred,1.0,0.07692307692307693,0.45454545454545453,0.0,0.0,0.0,0.5925925925925926,0.47058823529411764,0.6153846153846154,0.42857142857142855,0.26573426573426573,0.0,0.5267842179606885,0.5792518483694954,40.0
SK Hynix,2021,24500000.0,13475000.0,45.0,10500000.0,0.51,-3.0,-6000.0,95.0,90.0,40.0,16.2,18.0,87.0,94.0,1.0,0.8,0.298,0.17,0.76,1,0,Limited,0.3,0.0,1.0,1.0,1.0,0.0,0.688888888888889,0.4117647058823529,0.6923076923076923,0.5714285714285714,0.5,0.6666666666666666,0.5910974646268764,0.45910974646268765,30.0
Micron,2022,30700000.0,16005000.0,47.9,14800000.0,0.29,-2.0,-5000.0,95.0,90.0,50.0,13.1,30.0,89.0,97.0,1.0,0.7,0.312,0.056,0.75,0,0,Limited,0.3,0.07692307692307693,0.8181818181818182,1.0,1.0,0.18181818181818182,0.9185185185185185,0.7647058823529411,0.8461538461538461,1.0,0.4475524475524476,0.7272727272727272,0.8823445617563265,0.5011715191126955,30.0
Samsung,2022,234100000.0,127500000.0,45.5,55200000000.0,0.1,-2.0,-3000.0,85.0,80.0,50.0,16.0,25.0,88.0,94.0,1.0,0.75,0.261,0.055,0.7,2,2,Preferred,1.0,0.07692307692307693,0.45454545454545453,0.0,0.0,0.18181818181818182,0.7037037037037037,0.6176470588235294,0.7692307692307693,0.5714285714285714,0.26573426573426573,0.06060606060606061,0.6655025257966434,0.611305497334909,40.0
SK Hynix,2022,28000000.0,15400000.0,45.0,12000000.0,0.45,-3.0,-6000.0,95.0,90.0,50.0,15.0,25.0,88.0,95.0,1.0,0.85,0.3,0.09,0.76,1,0,Limited,0.3,0.0,1.0,1.0,1.0,0.18181818181818182,0.7777777777777778,0.6176470588235294,0.7692307692307693,0.7142857142857143,0.5,0.7272727272727272,0.7197353300294477,0.49015535118476294,30.0
Micron,2023,15540000.0,11539000.0,25.8,8700000.0,0.45,5.0,-1000.0,95.0,90.0,95.0,12.5,34.0,90.0,96.0,1.0,0.75,0.314,0.086,0.08,0,0,Limited,0.3,0.6153846153846154,0.09090909090909091,1.0,1.0,1.0,0.9629629629629629,0.8823529411764706,0.9230769230769231,0.8571428571428571,0.3531468531468532,1.0,0.9063839210898034,0.5759530774236656,30.0
Samsung,2023,202000000.0,129280000.0,36.0,48000000000.0,0.15,7.0,-500.0,85.0,80.0,90.0,15.1,29.0,87.0,95.0,1.0,0.8,0.263,0.081,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,0.0,0.0,0.9090909090909091,0.7703703703703704,0.7352941176470589,0.6923076923076923,0.7142857142857143,0.38461538461538464,0.30303030303030304,0.728064473652709,0.7021770767359002,40.0
SK Hynix,2023,11800000.0,8500000.0,28.0,5500000.0,0.58,4.0,-1500.0,95.0,90.0,95.0,14.1,30.0,88.0,95.0,1.0,0.9,0.302,0.09,0.08,1,0,Limited,0.3,0.5384615384615384,0.18181818181818182,1.0,1.0,1.0,0.8444444444444444,0.7647058823529411,0.7692307692307693,0.7142857142857143,0.3601398601398601,1.0,0.7731667025784673,0.5633306562718328,30.0
Micron,2024,17200000.0,13416000.0,22.0,4200000.0,0.38,5.0,-1000.0,95.0,90.0,95.0,12.0,38.0,91.0,97.0,1.0,0.8,0.316,0.086,0.08,0,0,Limited,0.3,0.6153846153846154,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3531468531468532,1.0,1.0,0.5853146853146853,30.0
Samsung,2024,205000000.0,126075000.0,38.5,52000000000.0,0.12,7.0,-500.0,85.0,80.0,90.0,14.5,32.0,88.0,95.0,1.0,0.85,0.265,0.081,0.08,2,2,Preferred,1.0,0.7692307692307693,0.0,0.0,0.0,0.9090909090909091,0.8148148148148148,0.8235294117647058,0.7692307692307693,0.7142857142857143,0.38461538461538464,0.30303030303030304,0.780465177524001,0.7074171471230295,40.0
SK Hynix,2024,12500000.0,10250000.0,18.0,2800000.0,0.65,4.0,-1500.0,95.0,90.0,95.0,13.5,35.0,89.0,96.0,1.0,0.95,0.305,0.09,0.08,1,0,Limited,0.3,0.5384615384615384,0.18181818181818182,1.0,1.0,1.0,0.8888888888888888,0.9117647058823529,0.8461538461538461,0.8571428571428571,0.3601398601398601,1.0,0.8759875745169863,0.5736127434656846,30.0
